Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-05-25
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
2010-01-01;0000;null;null;null;10;0;922.9;1010.6;22.3;20.5;19.8;86;18;4;50
2010-01-01;1200;null;6;null;10;3.4;922.5;1010.4;21.6;20.9;20.6;94;23;2.3;10
2010-01-01;1800;null;5;null;10;.6;921.3;1009.6;23.5;21.5;20.6;84;23;3.1;50
2010-01-02;0000;null;null;null;10;2.7;923.7;1012;20.4;19.6;19.1;92;0;0;50
2010-01-02;1200;null;5;null;10;6.9;925.7;1014.2;22;21.1;20.8;93;0;0;20
2010-01-02;1800;null;7;null;10;0;923.4;1011.5;27.8;23.7;21.8;70;23;2;70
2010-01-03;0000;null;5;null;10;30.4;925.7;1014;21.6;21.1;20.9;96;18;1.6;20
2010-01-03;1200;null;5;null;10;0;927.4;1015.6;24.1;22.1;22.2;84;5;1;20
2010-01-03;1800;null;5;null;10;0;925.6;1013.7;27.7;23.7;22;71;23;5.3;50
2010-01-04;0000;null;7;null;10;0;926.2;1014.1;23.5;21.5;20.6;84;14;3.1;50
2010-01-04;1200;5;1;5;3;0;926.9;1014.7;26.2;22.5;21;73;9;2.5;50
2010-01-04;1800;null;9;null;10;3.1;926.7;1015.7;21.6;21.1;20.9;96;9;5.8;2
2010-01-05;0000;0;0;8;2;11.2;925.4;1013.1;23;20.7;19.8;82;0;0;50
2010-01-05;1200;9;0;3;3;0;924.1;1011.8;25.5;22.5;21.2;77;14;2.3;10
2010-01-05;1800;0;5;6;8;.2;920.4;1007.8;28.8;23.1;20.5;61;5;1.1;20
2010-01-06;0000;null;null;null;10;43.6;923.8;1011.5;20.4;20.1;19.9;97;0;0;5
2010-01-06;1200;null;5;null;10;7.9;921.4;1009.2;23.2;20.2;18.7;76;5;3;50
2010-01-06;1800;2;2;6;7;0;919.6;1007.3;29.3;22.9;19.6;56;9;2.6;60
2010-01-07;0000;null;5;null;10;7.5;921.2;1008.8;22.3;20.2;19.1;83;32;1.3;50
2010-01-07;1200;null;5;null;10;0;922.7;1010.5;23.9;20.7;19.2;75;32;2.1;60
2010-01-07;1800;0;2;9;9;0;921;1009;26.9;22.7;21;70;27;2.8;50
2010-01-08;0000;null;null;null;10;0;923.3;1011;22.8;21.3;20.9;88;14;2.6;10
2010-01-08;1200;null;6;null;10;.6;925.5;1013.6;23.1;21.3;20.4;85;9;3.1;10
2010-01-08;1800;null;6;null;10;12;923.2;1011.7;24.2;22.7;22.3;89;18;2.3;10
2010-01-09;0000;0;6;8;9;17.4;924.9;1012.9;22.6;22;21.8;95;18;1;5
2010-01-09;1200;4;5;8;5;0;925.7;1013.6;25.4;23.4;22.7;85;0;0;50
2010-01-09;1800;0;2;7;8;0;923.2;1011.6;30.5;22.9;19.8;51;32;2.8;60
2010-01-10;0000;null;null;null;10;0;924.8;1012.6;23.6;23.1;22.3;96;14;1.6;50
2010-01-10;1200;6;0;7;3;0;924.6;1012.9;28.9;23.1;20.6;61;32;3.6;60
2010-01-10;1800;2;8;3;7;0;922.9;1010.3;31.1;22.6;18.8;48;27;4;70
2010-01-11;0000;null;null;null;10;.4;924.1;1011.2;25;22.1;20.9;78;9;1.5;50
2010-01-11;1200;5;2;7;8;0;924.1;1011.4;25.8;22.9;21.7;78;27;1.6;20
2010-01-11;1800;9;2;7;7;0;921.9;1009.4;30.7;24.7;22;60;27;3.3;70
2010-01-12;0000;null;5;null;10;29.4;923.8;1011.7;20.2;18.7;18;87;23;2.3;50
2010-01-12;1200;1;5;7;9;0;924.1;1012.1;24.9;20.9;18.8;69;23;1.3;60
2010-01-12;1800;1;2;8;6;0;922.1;1010.7;30;22.2;18.4;50;32;2.1;70
2010-01-13;0000;null;5;null;10;2.3;925.3;1013;23.8;21.7;20.9;84;32;3;20
2010-01-13;1200;5;2;7;5;0;925;1012.7;25.2;21;18.9;68;32;4;70
2010-01-13;1800;5;2;7;7;0;922.8;1012.1;30;22.1;18.4;50;32;3.3;70
2010-01-14;0000;8;5;1;5;0;923.8;1011.1;26.8;21.2;16.4;58;32;1.3;50
2010-01-14;1200;null;7;null;10;0;924.9;1012.5;22.8;20.3;19.2;80;32;3.3;70
2010-01-14;1800;null;5;null;10;0;923.9;1013;24.9;21.5;19.9;74;27;4;50
2010-01-15;0000;null;5;null;10;.8;925.4;1013.4;22.9;20.8;19.9;83;32;1.1;50
2010-01-15;1200;null;5;null;10;5.5;928.7;1017.2;20.8;19.7;19.3;91;14;4.1;50
2010-01-15;1800;null;5;null;10;0;928.5;1018.6;22.4;20.1;19.9;81;23;3.6;20
2010-01-16;0000;5;2;7;6;0;929.5;1018.5;20;15.5;12.5;62;14;4.1;50
2010-01-16;1200;null;5;null;10;0;929.3;1018.1;22.4;19.1;17.3;73;14;3;50
2010-01-16;1800;null;5;null;10;.4;927.1;1016.8;26;23.5;22.5;81;23;.7;20
2010-01-17;0000;null;5;null;10;8.8;929.4;1017.8;21.8;20.7;20.3;91;23;1.5;10
2010-01-17;1200;null;7;null;10;13.6;929;1017.7;20.9;19.3;18.5;86;5;2;60
2010-01-17;1800;null;5;null;10;0;926.6;1016.2;28.1;22.4;19.3;59;32;3.3;60
2010-01-18;0000;null;5;null;10;0;927.1;1015.3;25.2;22.1;20.9;77;5;3.5;50
2010-01-18;1200;5;5;7;8;12.4;927.9;1015.9;24.2;21.3;19.9;77;32;1.5;60
2010-01-18;1800;1;2;3;9;0;924.6;1013.2;29.9;22.5;18.7;51;32;7.8;70
2010-01-19;0000;null;5;null;10;0;925.9;1013.8;23.4;20.9;19.8;80;23;3;20
2010-01-19;1200;null;5;null;10;24;924.8;1012.7;23.4;20.2;18.7;75;32;2.5;60
2010-01-19;1800;9;2;3;7;0;923.2;1011.4;29.9;22.8;19.3;53;27;4.3;70
2010-01-20;0000;null;5;null;10;6.4;926.4;1014.6;21.4;20.2;19.5;89;32;2.8;10
2010-01-20;1200;8;5;8;4;13.5;923.4;1011.3;23.9;20.3;17.6;72;36;2.6;50
2010-01-20;1800;8;2;8;7;0;920.7;1008.7;30.2;22.5;18.9;51;5;4.6;70
2010-01-21;0000;6;5;4;9;0;922.6;1010;25.8;21.2;18.7;65;36;2.5;50
2010-01-21;1200;null;5;null;10;44;924;1013.1;22.2;20.2;19.4;84;32;1.3;50
2010-01-21;1800;5;2;4;9;0;922.6;1011.4;26.4;22.1;20.3;69;27;1.3;50
2010-01-22;0000;null;5;null;10;4.8;924;1012.2;20.9;19.7;19;89;5;5;10
2010-01-22;1200;null;8;null;10;4.4;925.3;1013.6;22.2;19.8;18.6;80;36;2.5;50
2010-01-22;1800;null;7;null;10;.4;924.5;1014;22.6;19.3;17.5;73;36;4;50
2010-01-23;0000;0;4;3;9;0;925.1;1013.3;21.4;19.6;18.8;85;5;3;50
2010-01-23;1200;8;5;8;8;.6;925.3;1013.3;24.2;20.5;18.6;71;36;3;50
2010-01-23;1800;null;5;null;10;4.4;923.7;1013.1;22.2;20.4;19.6;85;18;1.6;50
2010-01-24;0000;null;null;null;10;5.2;925.4;1013.4;21.2;20.1;19.8;92;0;0;10
2010-01-24;1200;5;1;4;6;10;924.9;1013.1;22.6;20.3;18.2;81;0;0;50
2010-01-24;1800;null;5;null;10;10.6;924.1;1013.9;21.2;20.3;19.7;91;14;3.6;20
2010-01-25;0000;null;6;null;10;7;924.9;1013.1;21;20.3;19.8;93;5;1;10
2010-01-25;1200;8;4;7;8;.2;924.7;1012.9;23.3;20.7;19.7;80;0;0;50
2010-01-25;1800;null;6;null;10;11.4;924.1;1013.2;21.4;20.3;19.7;90;5;3.6;10
2010-01-26;0000;null;null;null;10;5.4;924.7;1012.9;20.6;20.1;19.9;96;9;1.5;5
2010-01-26;1200;6;6;8;8;.2;924.4;1012.6;22;20.3;19.5;86;9;1.1;10
2010-01-26;1800;null;5;null;10;38;922.4;1011.1;19.8;19.5;19.3;97;0;0;2
2010-01-27;0000;null;null;null;10;15.2;924.1;1012.4;20.3;19.7;19.4;95;9;4.1;10
2010-01-27;1200;null;5;null;10;0;923.8;1012.1;22;20.1;19.2;84;14;.7;20
2010-01-27;1800;6;2;3;7;0;921.3;1009;28;22.7;20.3;63;32;4;70
2010-01-28;0000;null;5;null;10;0;927.8;1011.8;22.8;20.8;20;84;32;2.6;50
2010-01-28;1200;null;7;null;10;1.8;923.8;1011.7;23.1;20.8;19.7;81;5;3.6;10
2010-01-28;1800;null;7;null;10;40;922.6;1010.9;20.6;20.1;19.9;96;9;1;20
2010-01-29;0000;null;5;null;10;2.6;923.8;1011.8;22;20.7;20.1;89;9;4;50
2010-01-29;1200;null;5;null;10;3.4;925;1013.4;20.2;19.3;18.7;91;27;2.5;10
2010-01-29;1800;null;5;null;10;3.1;924.5;1012.9;22.5;21.2;20.6;89;32;2.5;20
2010-01-30;0000;null;5;null;10;2.8;925.5;1014;21.4;19.8;19;86;5;4.1;20
2010-01-30;1200;null;6;null;10;0;928.1;1016.6;21.9;20.7;20.2;90;27;4.1;10
2010-01-30;1800;null;5;null;10;0;927;1015.5;23.8;20.9;19.5;77;27;2.5;50
2010-01-31;0000;5;6;1;4;0;926.6;1014.9;22.9;21.1;20.4;86;32;.8;50
2010-01-31;1200;4;0;7;9;0;927.7;1015.8;24.6;21.8;20.5;78;9;2.1;50
2010-01-31;1800;0;9;8;10;0;925.5;1013.3;27.5;21.6;18.5;58;36;4.5;50
2010-02-01;0000;0;4;8;10;.8;927.6;1015.9;21.7;19.7;18.7;83;27;1.1;50
2010-02-01;1200;1;0;4;5;0;927.5;1015.6;25.8;21.1;18.7;65;36;.8;70
2010-02-01;1800;0;5;0;8;0;924.5;1011.7;32.7;23;18.6;43;32;3.6;70
2010-02-02;0000;null;5;null;10;35;926.6;1014.6;21.5;20.1;19.3;87;5;2;50
2010-02-02;1200;0;0;4;2;0;927.3;1015.4;25.8;21.1;18.7;65;0;0;60
2010-02-02;1800;0;2;0;6;0;924.2;1011.4;33.1;22.1;16.5;37;32;2.6;70
2010-02-03;0000;0;0;3;6;6;925.9;1013.8;22;19.1;17.6;76;36;2.3;50
2010-02-03;1200;0;0;0;0;0;926.2;1014;27;22.2;19.9;65;9;1.6;60
2010-02-03;1800;0;2;0;7;0;923;1010.2;31.5;22.5;18.2;45;27;2;70
2010-02-04;0000;0;4;0;3;90.4;925.4;1013.1;21.6;21.3;21.1;97;27;1;50
2010-02-04;1200;6;0;1;5;0;925.9;1013.8;26;22.1;20.3;71;36;.8;60
2010-02-04;1800;0;9;0;9;0;923.5;1010.8;32.2;23.3;18.8;45;32;5;60
2010-02-05;0000;0;0;5;2;13.4;924.9;1012.6;22.8;20.7;20.1;85;9;1.6;50
2010-02-05;1200;0;0;0;0;0;925.4;1013;27;22;19.6;64;5;1.6;70
2010-02-05;1800;0;2;0;5;0;922.6;1009.6;32.8;22.9;18.2;42;36;2;70
2010-02-06;0000;0;4;0;1;18;924.2;1011.7;23.3;20.3;19.8;77;36;1.6;50
2010-02-06;1200;0;1;0;1;0;924.4;1011.8;27.9;21.3;18;55;5;4.1;70
2010-02-06;1800;5;2;3;6;0;921.7;1009.3;32.1;23.1;19;46;36;2.3;70
2010-02-07;0000;5;0;3;3;3.8;924.3;1011.7;22.8;19.9;18.3;76;36;1.6;50
2010-02-07;1200;0;0;0;0;0;924.5;1012;27.3;21.1;17.8;56;36;4.1;70
2010-02-07;1800;0;2;0;8;0;922.2;1009.2;31.4;21.7;16.6;41;36;3.3;70
2010-02-08;0000;0;5;0;2;0;923.9;1011.1;26;21.8;19.6;68;27;1.6;50
2010-02-08;1200;0;0;0;0;0;924.2;1011.5;26.5;20.7;17;56;36;4.1;60
2010-02-08;1800;0;1;0;7;0;921.2;1008.7;30.9;21.5;16.5;42;36;5.6;70
2010-02-09;0000;null;null;null;2;0;921.9;1008.8;27.5;21.4;17.9;56;36;1.6;50
2010-02-09;1200;4;4;8;6;0;921.6;1008.5;26.3;20.1;16.8;56;36;4.6;70
2010-02-09;1800;null;8;null;10;0;919.5;1006.2;29.7;21.3;16.8;46;36;5.3;50
2010-02-10;0000;null;4;null;10;0;922;1009.3;23.2;19.8;18.1;73;9;4;50
2010-02-10;1200;2;5;4;8;0;923.2;1010.6;26.2;20.9;18.1;61;32;3.1;60
2010-02-10;1800;null;8;null;10;1;922.4;1010.6;23.1;20.5;19.3;79;32;2.8;60
2010-02-11;0000;null;6;null;10;0;923.9;1011.5;22.8;20.5;19.6;82;5;3.5;20
2010-02-11;1200;2;5;8;6;0;924.9;1012.7;25.4;21.5;19.5;70;5;1.8;50
2010-02-11;1800;0;3;6;9;0;923.5;1011.1;29.4;22.1;18.8;53;27;2.1;50
2010-02-12;0000;null;5;null;10;20.6;927;1015.1;21.2;20.5;20;93;0;0;50
2010-02-12;1200;5;5;1;8;0;928.2;1016.6;23.7;21.9;21;85;5;1.6;10
2010-02-12;1800;8;2;8;6;0;924.6;1012.2;31.4;21.1;15.4;38;9;2;50
2010-02-13;0000;null;6;null;10;0;926.8;1014.8;24.8;22.3;21.1;80;18;2.3;10
2010-02-13;1200;4;6;2;7;0;927.8;1015.5;25.2;22;20.7;76;0;0;10
2010-02-13;1800;9;4;8;6;0;924.9;1012.1;31.9;20.4;13.6;33;5;3.3;70
2010-02-14;0000;0;0;0;0;0;926.1;1013.6;26.2;22.5;21;73;14;3;50
2010-02-14;1200;9;0;0;1;0;926.6;1014.1;27.1;20.7;17;54;5;2.6;60
2010-02-14;1800;0;1;1;6;0;923.9;1011;32.3;21.2;15.2;36;27;3.1;70
2010-02-15;0000;null;null;null;null;0;924.2;1011.3;27.1;21.2;17.3;55;0;0;50
2010-02-15;1200;5;5;1;8;0;924.8;1012.1;26.1;21.1;18.5;63;9;3.3;60
2010-02-15;1800;9;2;1;5;0;922.7;1009.7;32.7;23.3;18.7;44;32;3.3;70
2010-02-16;0000;5;0;1;4;0;923.2;1010.3;27.3;22.2;19.6;63;14;.8;50
2010-02-16;1200;9;1;1;5;0;924.1;1011.2;27.1;22.2;19.7;64;5;2;70
2010-02-16;1800;7;2;3;7;0;922.5;1009.6;31.1;22.5;17.4;47;32;4.1;70
2010-02-17;0000;7;0;1;5;0;923.9;1010.9;27.8;23.2;21.1;67;5;2;50
2010-02-17;1200;9;6;8;8;0;925.2;1012.3;26.8;22.2;19.9;66;32;1.3;70
2010-02-17;1800;null;7;null;10;0;923.7;1011.6;27.8;22.5;19.8;62;32;3.3;60
2010-02-18;0000;null;5;null;10;44;926.6;1014.6;21;20.2;19.8;93;9;1.8;20
2010-02-18;1200;null;5;null;10;16.8;927.2;1015.8;21.2;20.2;19.7;91;5;3.5;20
2010-02-18;1800;null;7;null;10;0;926.5;1015.6;24.4;21.2;19.7;75;14;2.8;50
2010-02-19;0000;null;7;null;10;0;927.8;1016.3;22.9;21.1;20.4;86;5;1.6;50
2010-02-19;1200;9;2;2;5;0;928.9;1017.2;24.2;21.1;19.7;76;9;2.8;50
2010-02-19;1800;null;7;null;10;0;928.2;1017.3;24.1;20.7;19;73;32;4.1;70
2010-02-20;0000;null;5;null;10;0;928.7;1017.1;21.8;20.1;19.4;86;5;5;50
2010-02-20;1200;null;7;null;10;0;929.2;1017.8;21.9;20.1;19.3;85;9;.8;50
2010-02-20;1800;0;8;0;9;0;925.5;1013.9;29.6;21.5;17.4;48;0;0;60
2010-02-21;0000;5;0;7;7;0;927;1016.2;24.6;20.7;18.8;70;5;.8;50
2010-02-21;1200;0;1;0;2;0;927.1;1014.9;25.4;21.5;19.5;70;14;1;70
2010-02-21;1800;5;2;3;7;0;923.7;1011.6;31.3;23.2;19.3;49;27;3.6;70
2010-02-22;0000;7;0;1;4;0;925;1012.4;26.3;22.5;20.6;72;18;1.8;50
2010-02-22;1200;1;0;1;2;0;925.1;1012.9;27;22.3;20.1;66;9;.8;70
2010-02-22;1800;0;2;1;5;0;922.4;1009.8;31.3;23;19.3;49;27;2.5;70
2010-02-23;0000;null;5;null;10;2;923.8;1011.2;24.3;22.3;21.2;84;9;1;50
2010-02-23;1200;0;5;0;3;0;923.7;1011.1;27;22.2;19.9;65;32;.7;50
2010-02-23;1800;5;2;7;7;0;921;1018.5;32.3;22.3;19.2;40;27;4.5;70
2010-02-24;0000;null;5;null;10;1.2;923.6;1010.9;25.4;21.9;20.2;73;36;4.1;20
2010-02-24;1200;0;5;8;7;1;924;1012.3;26.8;22.4;19.7;65;32;2;60
2010-02-24;1800;0;7;4;9;0;921.4;1009.1;27.5;22.1;19.6;62;23;4.5;60
2010-02-25;0000;null;5;null;10;8.8;924.4;1011.9;23.6;21.7;20.9;85;14;4.3;20
2010-02-25;1200;null;7;null;10;23.4;925.3;1013.3;22.2;20.8;19.9;87;18;3.3;10
2010-02-25;1800;null;7;null;10;9.3;925.3;1013.7;20.8;19.4;18.6;87;32;4.3;10
2010-02-26;0000;null;5;null;10;1;927.1;1015.8;18.9;17.7;16.9;88;5;5.5;20
2010-02-26;1200;null;7;null;10;0;927.2;1016.2;19.1;17.1;16;82;14;5.8;50
2010-02-26;1800;null;5;null;10;0;925.3;1014.9;22.4;18.7;16.7;70;18;4;50
2010-02-27;0000;null;5;null;10;0;926.7;1015.7;19.4;17.3;16.1;81;9;3.6;50
2010-02-27;1200;1;5;3;8;0;926.7;1015.5;21.1;17.7;15.6;71;9;3.3;60
2010-02-27;1800;null;5;null;10;0;924.8;1013.2;23.4;19.7;17.8;71;14;3.6;60
2010-02-28;0000;null;7;null;10;0;926.5;1010.2;20.7;18;16.4;76;9;4.1;50
2010-02-28;1200;null;5;null;10;0;926.6;1015.3;20;19.3;18.8;93;5;2.5;10
2010-02-28;1800;null;6;null;10;4.2;924.4;1014;21.1;20.3;19.7;92;9;2.5;5
2010-03-01;0000;null;null;null;10;4.8;926;1014.8;19;18.7;18.5;97;14;1.3;5
2010-03-01;1200;null;5;null;10;23.3;926.1;1015.2;16.7;15.8;15.2;91;9;5.3;10
2010-03-01;1800;null;6;null;10;7;925.5;1015;18.6;17.3;16.4;87;9;4.8;5
2010-03-02;0000;null;8;null;10;0;926.6;1015.9;18.4;17.3;16.6;89;14;5.8;10
2010-03-02;1200;null;5;null;10;0;926.6;1015.6;19.8;17.1;15.7;77;9;3.3;60
2010-03-02;1800;null;7;null;10;.4;924.8;1013.6;20.4;19.3;18.5;89;18;4.6;20
2010-03-03;0000;null;5;null;10;0;925.4;1014.2;18.7;17;16.1;85;14;5.8;50
2010-03-03;1200;null;7;null;10;0;925.7;1014.6;19.8;17.5;16.3;80;9;3.6;50
2010-03-03;1800;null;5;null;10;0;924.5;1012.9;22.2;20.1;19.2;83;14;3;10
2010-03-04;0000;null;5;null;10;3.6;924.8;1013.4;19.8;18.8;18.3;91;14;4.6;20
2010-03-04;1200;null;6;null;10;0;925.6;1014.2;21.2;19.5;18.6;85;9;3.1;20
2010-03-04;1800;null;6;null;10;0;924.3;1012.3;23.2;21.1;20.2;83;18;2;10
2010-03-05;0000;null;8;null;10;0;925;1013.3;21.4;19.9;19.1;87;9;5.6;50
2010-03-05;1200;null;5;null;10;0;925.1;1013.4;21.7;19.4;18.1;80;9;2.5;60
2010-03-05;1800;null;5;null;10;0;923.6;1011.6;23.8;20.7;19.5;76;18;3;60
2010-03-06;0000;null;5;null;10;0;923;1011.1;21.4;19.4;18.4;83;18;3.3;50
2010-03-06;1200;null;5;null;10;19.7;922.8;1011.6;17.4;16.9;16.6;95;23;1.8;20
2010-03-06;1800;null;5;null;10;22.8;920.9;1010.2;19.2;18.2;17.5;90;23;1.1;20
2010-03-07;0000;0;1;7;4;0;921.9;1010.6;18.7;17.5;16.7;88;14;2.5;50
2010-03-07;1200;null;7;null;10;0;920.7;1009.2;17.9;16.5;15.5;86;9;2;20
2010-03-07;1800;9;2;7;7;0;918.9;1006.3;26.8;20;16.4;53;36;2.6;70
2010-03-08;0000;null;7;null;10;0;920.6;1009;20.4;18.5;17.6;84;23;1.6;50
2010-03-08;1200;9;5;8;5;0;921.2;1009.4;19.1;17.5;16.5;85;36;2.5;50
2010-03-08;1800;1;2;9;8;0;919.7;1007.2;28.1;19.5;14.2;43;23;2.7;70
2010-03-09;0000;0;4;9;7;0;922.4;1010.6;22.2;20.1;19.2;83;14;.7;50
2010-03-09;1200;0;1;0;1;0;923.1;1010.9;24;18.1;14.7;56;32;3.6;60
2010-03-09;1800;0;4;0;6;0;920.9;1008.4;28.9;18.9;12.3;36;32;3.1;50
2010-03-10;0000;0;4;0;1;0;922.3;1009.6;25.6;20;17;59;36;1;50
2010-03-10;1200;9;2;3;7;0;922.3;1009.6;24.9;19.2;16.3;59;32;3.1;50
2010-03-10;1800;5;5;6;6;0;919.8;1006.9;30.2;20.2;14.3;38;32;4;70
2010-03-11;0000;0;9;7;2;0;919.8;1006.8;26.5;20.5;17.6;58;32;.8;50
2010-03-11;1200;0;0;0;0;0;921.6;1007.6;27.4;20.1;16.4;51;36;1.6;70
2010-03-11;1800;1;2;1;6;0;919;1005.5;31.2;20.6;14.4;36;27;4.3;70
2010-03-12;0000;0;2;0;4;0;920;1007.2;26.8;20.4;16.7;54;0;0;50
2010-03-12;1200;0;0;8;1;0;921.6;1008.6;26.6;19.9;16.2;53;36;2.3;50
2010-03-12;1800;0;1;5;4;0;919.4;1006.4;31.5;20.9;15;37;32;4.3;50
2010-03-13;0000;0;1;0;1;0;921.6;1008.7;25.7;20.9;18.4;84;5;2;10
2010-03-13;1200;1;0;8;3;0;923.2;1010.3;27;21.5;18.6;60;36;2.5;70
2010-03-13;1800;0;2;0;5;0;921.8;1008.5;31.6;21.4;16;39;36;5;70
2010-03-14;0000;0;0;0;0;0;922.7;1009.7;27.1;21.5;18.4;59;5;.8;50
2010-03-14;1200;2;4;2;6;0;923.4;1010.4;26.5;21;18.1;60;32;5;70
2010-03-14;1800;null;5;null;10;.7;921.3;1008.1;28.5;23;20.5;62;27;4.5;70
2010-03-15;0000;null;5;null;10;15;925;1017.8;21.1;19.3;18.3;84;36;1.3;50
2010-03-15;1200;null;5;null;10;3.2;926.7;1015.3;20.8;19.5;18.7;88;32;4.1;20
2010-03-15;1800;null;7;null;10;.5;924.1;1013;25.9;21.2;18.8;65;27;4.5;70
2010-03-16;0000;1;1;4;6;0;926.6;1014.9;23.8;20.2;18.4;72;32;1.3;50
2010-03-16;1200;0;5;3;9;0;929;1017.5;21.6;19.1;17.8;79;18;2.3;70
2010-03-16;1800;0;2;0;7;0;927.9;1015.9;26.8;20.2;16.7;54;18;4.3;70
2010-03-17;0000;null;5;null;10;0;930.3;1019.1;21.4;18.9;17.8;80;9;5;50
2010-03-17;1200;0;5;3;9;0;930.1;1018.9;21.9;18.5;16.6;72;5;4.8;70
2010-03-17;1800;null;7;null;10;0;929;1019;22.8;19.5;17.7;73;14;4.5;60
2010-03-18;0000;null;7;null;10;0;930.4;1019.3;19.8;17.1;15.7;77;18;3.3;50
2010-03-18;1200;null;5;null;10;0;930.1;1019.3;19.5;17.7;16.7;84;5;4.1;50
2010-03-18;1800;0;2;6;5;0;926.8;1016.4;26.8;20.7;17.3;56;14;2.8;50
2010-03-19;0000;null;6;null;10;0;928.2;1016.9;22;21;20.5;91;14;2.5;10
2010-03-19;1200;0;1;1;3;0;927.9;1016.2;23.8;20.3;18.4;72;18;3.3;60
2010-03-19;1800;0;2;1;8;0;924.5;1012;29;21.4;17.5;50;27;2.3;70
2010-03-20;0000;0;0;0;0;8.7;926.4;1014.7;20.6;19.1;18.5;88;5;3;50
2010-03-20;1200;0;0;1;1;0;925.3;1013.5;23.4;20.2;18.7;75;0;0;50
2010-03-20;1800;0;1;3;9;0;921.7;1010.2;29.9;20.7;15.6;42;32;3.5;50
2010-03-21;0000;null;null;null;10;4.2;923.1;1011;21.4;19.3;18.2;82;14;4.1;10
2010-03-21;1200;null;7;null;10;2.6;921.1;1009.1;20.9;19.6;18.8;88;36;2.1;10
2010-03-21;1800;0;4;0;7;.8;917.5;1005.7;28.1;22;18.8;57;32;3.6;70
2010-03-22;0000;0;1;0;1;0;920.2;1007.9;23.6;20.7;19.3;77;36;3.1;50
2010-03-22;1200;0;1;0;4;0;921.5;1009.2;22.8;20.3;19.2;80;36;4.3;70
2010-03-22;1800;1;2;1;8;0;919;1005.8;29.9;22.9;19.3;53;27;4.6;70
2010-03-23;0000;0;5;0;8;.2;922.8;1010.6;23;19.3;17.2;70;27;1.6;50
2010-03-23;1200;0;0;4;1;0;924.6;1012.4;25.2;20.5;18.2;65;32;2.6;70
2010-03-23;1800;0;9;2;9;0;923.3;1010.6;30.4;23.1;19.7;53;14;5;50
2010-03-24;0000;0;6;2;9;0;926.2;1014;23.6;21.6;20.7;84;9;2.5;10
2010-03-24;1200;9;5;7;9;0;926.2;1014.1;24.8;21.2;19.4;72;5;2.1;50
2010-03-24;1800;9;2;3;9;0;923.6;1011.5;32.1;21.7;16.4;39;27;2.5;60
2010-03-25;0000;9;2;9;9;0;926.2;1014;24;21.8;20.7;82;14;2.1;50
2010-03-25;1200;0;5;2;8;0;927.4;1015.4;24.3;21.6;20.4;79;27;1.6;10
2010-03-25;1800;null;5;null;10;6.8;923.9;1012.7;25;20.6;18.4;67;32;5.1;5
2010-03-26;0000;null;5;null;10;15.8;927.3;1015.5;21.9;20.9;20.4;91;14;2.6;20
2010-03-26;1200;1;2;3;8;.2;927.8;1016.1;24.3;21.8;20.6;80;0;0;20
2010-03-26;1800;0;9;6;9;0;925.3;1014;24;20.5;18.6;72;18;3.5;50
2010-03-27;0000;5;1;7;8;5.4;926.6;1014.8;21.3;20.2;19.6;90;9;1.6;20
2010-03-27;1200;8;6;8;7;0;927;1015.3;23.8;21.3;20.1;80;0;0;10
2010-03-27;1800;2;9;6;9;0;924.3;1012.8;28.3;22.5;19.5;59;23;1.8;50
2010-03-28;0000;null;5;null;10;0;926.2;1014.3;22.6;21.2;20.5;88;23;1.8;50
2010-03-28;1200;null;7;null;10;2.2;926.3;1014.6;21.9;20.4;19.8;88;14;2;20
2010-03-28;1800;null;7;null;10;0;922.7;1010.4;25;20.9;18.7;68;27;2.8;70
2010-03-29;0000;null;7;null;10;2.7;923.7;1011.8;22.4;20.7;20.1;87;23;1.6;50
2010-03-29;1200;2;1;8;7;.2;924.3;1012.1;24.4;21.3;19.7;75;36;1.3;50
2010-03-29;1800;0;9;6;9;0;922.1;1009.8;25.1;21.3;19.2;70;27;3;50
2010-03-30;0000;null;null;null;10;19.6;925.6;1013.9;20.2;19.7;19.4;95;5;1.8;5
2010-03-30;1200;null;7;null;10;9.8;925.6;1014.1;21.6;20.1;19.5;88;27;2.1;10
2010-03-30;1800;null;7;null;10;0;923.8;1013.5;26.7;22.3;20.3;68;14;3;50
2010-03-31;0000;null;5;null;10;0;925.3;1013.6;21.7;19.8;18.9;84;23;3.6;50
2010-03-31;1200;0;5;0;9;.1;926.8;1014.7;22;19.3;17.8;77;9;2.5;70
